symbol,description
Psd,"This occurs when a subject euphemizes the crime or offence in question and replaces it with a less-severe word. Examples include using 'hurt' instead of 'kill', 'take' instead of 'steal', 'relations' instead of 'sex' and 'touch' instead of 'molest'.

This is a very common deception tactic employed by the subconscious to lessen the guilt experienced in the presence of interviewers. It is a psychological way of reducing the amount of nonverbal stress that shows in the body during interviews as well."
Rip,The stress of deceiving an interviewer and the anxiety caused by fear of failure with high stakes causes the muscles in the vocal production area to tighten and raise the natural pitch of the voice during testimony and conversation.
Spd,"This observation requires the interviewer or analyst to establish a vocal baseline, noting the cadence with which a subject speaks. In an attempt to quickly 'get it over with', subjects will frequently speed up the rate of speech in order to lessen the amount of psychological stress experienced and exude fewer nonverbal signs of deception during the deceptive statement."
NA,"This occurs when a subject replies to a question with a lengthy response that does not answer the question.

Any reply to a question that doesn't answer the question is considered a non-answer statement. For example, if an interviewer asks, ""Did you go to the liquor store last night?"" and the subject responds by saying, ""I don't even drink."""
Prn,"Deceptive statements will sometimes lack pronouns because of the load placed on the cognitive faculties during deception. An example of this is a subject, after being asked to recount events, saying the following: ""Well, woke up around two, went to the ATM at the gas station, left the bar around two AM and got back to the house around two thirty.""

You will see the absence of pronouns come up more regularly in conversation when you begin to listen more to regular daily conversations you have with others."
Res,"This verbal expression is commonly used as an answer to an allegation or a question involving the suspicion of wrongdoing. Subjects may express themselves to the interviewer by giving all the reasons that they aren't capable of the act, the volunteer work they do, where they went to school or their position within a community.

After being questioned about a theft, a subject may
reply, ""I am a well-respected member of this community and I volunteer at the church. My wife and I both give our time to help the homeless and our neighbours will tell you the same thing""

This statement hasn't answered the question, and the subject is attempting to manage the way the interviewer sees them by listing good qualities and civic involvement."
Nc,"When a subject denies or rejects an accusation, in order to make the statement easier to believe, they may remove the contraction of two words, such as 'did not' instead of 'didn't' and 'could not' instead of couldn't'.

This is a way the subject can feel like they are more clearly communicating to the interviewer and is done on a subconscious level. The subject's subconscious mind is doing its best to remove ambiguous communication here in order to make the statement sound more matter-of-fact."
Qr,"This is an aggressive reversal of questioning by the subject. When asked a question, the subject will respond with a question that implies guilt in the interviewer or is designed to question the motives of the interviewer for asking the question."
Am,This occurs when a subject answers a question and provides vague statements about the incident or their recount of the events therein.
Pol,"This behaviour specifically involved the shift in politeness level within the conversation. If a subject frequently answers questions with 'yeah', 'yep' and 'mmhm', then follows another question with a sudden 'yes sir' or 'no sir' this is a shift in the level of politeness from the subject's typical behaviour."
Oa,"When a subject continually apologizes for things that occur during the interview, like not being able to provide more information, having inadequate detail or not having what they think the interviewer is looking for, this is a subconscious apology for other things that needs to be uncovered. The sudden presence of an apology in conversation is very much a red flag, regardless of its associated reason."
Mc,"This takes place in the form of a confession that isn't the event for which they are being questioned. In the subject's mind, if they can confess to a few small things, they will appear to be more open and honest and the interviewer will eventually either forget to ask them the bigger questions or trust them.

The mini confessions take place during the interview and seem to be genuine, honest confessions of small and insignificant wrongdoing."
Exc,"Words that seem to answer the question, but deliberately exclude an unknown item are exclusions. It is a polite way of withholding information from an interviewer.

Examples include the following.
1. ""...as far as I know...""
2. ""...to the best of my knowledge...""
3. ""...basically...""
4. ""...probably...""
5. ""...I suppose..."""
Chr,"This behaviour is difficult to spot because the interviewer has the potential to inadvertently trigger
it and therefore make it void and unrecordable. When a subject recounts a story or chain of events in perfect chronological order, this is a Chr.

Emotional stories will often be jumbled and the subject will almost always start with the most traumatic part of the story.

However, if the interviewer directly asks the subject to recount events in the order they occurred, the chronology of their statement is basically irrelevant."
Acc,"The arm cross gesture is used universally and has 4 basic variations important to the interviewer. This gesture is frequently seen in magazines, detective shows and books. All of these sources say the same thing: ""Crossing your arms is defensive.""

While there is a hint at the truth in this 'translation', the actual meaning reveals much more. When making an observation of the performance of this behaviour, note the closeness of the palms to the body, the direction the thumbs are pointing, the tightness of the cross, the flexion of the fingers and the distance from the humerus (upper arm) to the torso.

These variations all broadcast small, but significant details about the gesture's true meaning. Crossing the arms is something we do when we need assurance, warmth or when we feel threatened.

Here are a few generalized rules to follow when making observations about arm-crossing behaviour:

• The tighter the grip, the stronger the need for reassurance.

• Palms go toward the body in such a way that we hug ourselves when needing reassurance.

• When thumbs protrude upward, this is an almost certain sign of confidence, despite the crossed arms.

• Digital flexion increases in synch with the level of anger experienced.

• Crossing arms, when grouped with posture and facial expression, can be a sure sign of pride.

• Hands wrapped around upper arms and the associated display of Ag or Co is an intimidation attempt.

• When women do this during socially stressful situations, it is almost always accompanied by Sh.

• When the fingers wrap around the arms and pull toward the sternum, look for Ag. This is a warning sign. If you see this with Wd, your subject is about to become violent.

• The dominant hand is almost always the one on top, while the dominant arm is on the bottom"
